Área,Año,Mes,Día,Desviación,Recuento de Desviación
Desposte,2024,agosto,13,D3,104
Desposte,2024,septiembre,10,D3,102
Desposte,2024,septiembre,11,D3,95
Desposte,2024,septiembre,4,D3,87
Desposte,2024,septiembre,12,D3,80
Desposte,2024,agosto,12,D3,78
Desposte,2024,septiembre,9,D3,57
Desposte,2024,septiembre,13,D3,57
,2024,agosto,16,D3,55
Desposte,2024,octubre,4,D3,53
Desposte,2024,agosto,23,D3,52
Desposte,2024,agosto,15,D3,46
Desposte,2024,julio,30,D3,43
Desposte,2024,agosto,14,D3,42
Desposte,2024,septiembre,2,D3,41
Desposte,2024,septiembre,24,D2,41
Desposte,2024,octubre,1,D3,41
Desposte,2024,octubre,11,D3,41
Desposte,2024,agosto,21,D3,40
Desposte,2024,septiembre,24,D3,39
Desposte,2024,octubre,2,D3,39
Desposte,2024,octubre,3,D3,39
Desposte,2024,agosto,5,D3,38
Desposte,2024,octubre,7,D3,38
Desposte,2024,agosto,7,D3,37
Desposte,2024,septiembre,6,D3,37
Desposte,2024,septiembre,30,D3,37
Desposte,2024,octubre,29,D2,37
Desposte,2024,agosto,9,D3,36
Desposte,2024,septiembre,3,D3,36
Desposte,2024,septiembre,26,D3,36
Desposte,2024,octubre,1,D4,35
Desposte,2024,agosto,27,D3,33
Desposte,2024,septiembre,30,D2,33
Desposte,2024,agosto,8,D3,32
Desposte,2024,agosto,16,D3,32
Desposte,2024,octubre,16,D3,32
Desposte,2024,octubre,15,D3,31
Desposte,2024,julio,31,D3,30
Desposte,2024,septiembre,26,D2,30
Desposte,2024,octubre,28,D3,30
Desposte,2024,junio,18,D1,29
Desposte,2024,septiembre,26,D1,29
Desposte,2024,octubre,17,D3,29
Desposte,2024,octubre,18,D3,29
Desposte,2024,julio,29,D3,28
Desposte,2024,agosto,29,D4,28
Desposte,2024,septiembre,5,D3,28
Desposte,2024,septiembre,23,D3,28
Desposte,2024,septiembre,25,D3,28
Desposte,2024,junio,27,D2,27
Desposte,2024,julio,26,D3,27
Desposte,2024,septiembre,14,D3,27
Desposte,2024,septiembre,25,D1,27
Desposte,2024,octubre,22,D1,27
Desposte,2024,octubre,25,D1,27
Desposte,2024,julio,18,D3,26
Desposte,2024,agosto,28,D3,26
Desposte,2024,septiembre,24,D1,26
Desposte,2024,octubre,11,D1,26
Desposte,2024,octubre,23,D3,26
Despacho,2024,octubre,11,D1,25
Desposte,2024,agosto,14,D4,25
Desposte,2024,agosto,26,D3,25
Desposte,2024,octubre,4,D4,25
Desposte,2024,octubre,17,D1,25
Desposte,2024,octubre,30,D2,25
Despacho,2024,octubre,25,D1,24
Desposte,2024,junio,21,D1,24
Desposte,2024,julio,3,D2,24
Desposte,2024,julio,15,D3,24
Desposte,2024,julio,25,D4,24
Desposte,2024,agosto,6,D3,24
Desposte,2024,agosto,20,D3,24
Desposte,2024,agosto,29,D3,24
Desposte,2024,agosto,30,D3,24
Desposte,2024,octubre,1,D2,24
Desposte,2024,octubre,3,D2,24
Corrales,2024,julio,22,D1,23
Desposte,2024,agosto,13,D4,23
Desposte,2024,agosto,21,D4,23
Desposte,2024,septiembre,3,D4,23
Desposte,2024,septiembre,23,D4,23
Desposte,2024,septiembre,26,D4,23
Desposte,2024,octubre,23,D1,23
Desposte,2024,julio,29,D4,22
Desposte,2024,agosto,22,D3,22
Desposte,2024,octubre,7,D2,22
Corrales,2024,julio,17,D1,21
Cortes Especiales,2024,octubre,11,D4,21
Desposte,2024,junio,25,D1,21
Desposte,2024,julio,19,D2,21
Desposte,2024,julio,31,D4,21
Desposte,2024,agosto,2,D4,21
Desposte,2024,octubre,1,D1,21
Desposte,2024,octubre,2,D4,21
Desposte,2024,octubre,3,D4,21
Desposte,2024,octubre,7,D4,21
Desposte,2024,junio,28,D2,20
Desposte,2024,julio,24,D2,20
Desposte,2024,septiembre,25,D2,20
Desposte,2024,septiembre,27,D3,20
Desposte,2024,octubre,14,D3,20
Desposte,2024,octubre,22,D3,20
Desposte,2024,octubre,23,D4,20
Desposte,2024,octubre,24,D1,20
Desposte,2024,octubre,30,D1,20
Cortes Especiales,2024,agosto,26,D1,19
Desposte,2024,julio,18,D4,19
Desposte,2024,agosto,20,D4,19
Desposte,2024,agosto,28,D4,19
Desposte,2024,octubre,2,D2,19
Desposte,2024,octubre,9,D3,19
Desposte,2024,octubre,10,D2,19
Desposte,2024,octubre,15,D1,19
Desposte,2024,octubre,16,D1,19
Desposte,2024,octubre,21,D3,19
Desposte,2024,octubre,28,D2,19
Cortes Especiales,2024,agosto,20,D1,18
Desposte,2024,junio,17,D1,18
Desposte,2024,julio,15,D2,18
Desposte,2024,julio,23,D1,18
Desposte,2024,julio,24,D3,18
Desposte,2024,julio,30,D4,18
Desposte,2024,agosto,12,D4,18
Desposte,2024,agosto,19,D3,18
Desposte,2024,septiembre,2,D4,18
Desposte,2024,septiembre,13,D4,18
Desposte,2024,septiembre,27,D1,18
Desposte,2024,octubre,4,D1,18
Desposte,2024,octubre,8,D4,18
Desposte,2024,octubre,9,D1,18
Desposte,2024,octubre,10,D1,18
Desposte,2024,octubre,18,D1,18
Desposte,2024,octubre,21,D1,18
Desposte,2024,octubre,28,D1,18
Desposte,2024,octubre,29,D1,18
Corrales,2024,julio,11,D1,17
Corrales,2024,julio,23,D1,17
Cortes Especiales,2024,agosto,22,D1,17
Cortes Especiales,2024,septiembre,30,D4,17
Cortes Especiales,2024,octubre,14,D3,17
Despacho,2024,septiembre,26,D1,17
Desposte,2024,junio,25,D3,17
Desposte,2024,junio,26,D1,17
Desposte,2024,junio,26,D2,17
Desposte,2024,junio,28,D1,17
Desposte,2024,julio,2,D2,17
Desposte,2024,julio,19,D3,17
Desposte,2024,agosto,17,D3,17
Desposte,2024,agosto,19,D4,17
